"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";"TP_SIGNAL_NAME";
"C1";"18pF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C2";"1µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C3";"0.1µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C4";"0.1µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C5";"10µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C6";"4.7µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C7";"18pF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C8";"15pF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C9";"1µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C10";"1µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C11";"10µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C12";"15pF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C13";"0.1µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C14";"1µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C15";"1µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C16";"10µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C17";"2.2µF / 25V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C18";"1nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C19";"0.1µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C20";"0.1µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C21";"0.1µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C22";"10µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C23";"10µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C24";"10pF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C25";"1.5F";"EECS5R5H155";"TH";"";"";"";"";"";"";"";"";"";
"C26";"33pF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C27";"1000µF";"CPOL-EUE5-10.5";"E5-10,5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C28";"10µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C29";"10µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C30";"1000µF";"CPOL-EUE5-10.5";"E5-10,5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C31";"1000µF";"CPOL-EUE5-10.5";"E5-10,5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C32";"0.1µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C33";"10µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C34";"10µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C35";"1000µF";"CPOL-EUE5-10.5";"E5-10,5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C36";"0.1µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C37";"10µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C38";"1000µF";"CPOL-EUE5-10.5";"E5-10,5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C39";"100µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C40";"100µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C41";"0.1µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C42";"0.1µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C43";"0.1µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"CONN1";"JTAG";"JTAG-1.27-10-PIN-HEADER";"TH-JTAG";"";"";"";"";"";"";"";"";"";
"CONN2";"I2C";"JP4E";"JP4";"JUMPER";"";"";"";"";"";"";"";"";
"CONN3";"LiPo Battery";"JST_2PIN-THM-RA";"JST-PH-2-THM-RA";"JST 2-Pin Connectors of various flavors";"";"";"";"";"";"";"";"";
"CONN4";"USB mini B";"MX-67503-1230";"SMT";"";"";"";"";"";"";"";"";"";
"CONN5";"U.FL-R-SMT 1";"ANTENNASMD";"SMD";"Antenna";"";"";"";"";"";"";"";"";
"D1";"1N4148";"1N4148";"D0805";"DIODE";"";"";"";"";"";"";"";"";
"D2";" BAT60AE6327 ";"BAT60J";"SOD323_ST";"Schottky barrier diode";"";"";"";"";"";"";"";"";
"D3";"MMSZ5231B-DIO";"DIODE-SOD123";"SOD123";"DIODE";"";"";"";"";"";"";"";"";
